nb_people,movingPeople,meanDiversityGlobal
40000,37860,0.09837189049179564
40000,6560,0.19927722622103683
40000,5650,0.09841386292947205
40000,4980,0.1391772850241266
40000,4340,0.0970294805472853
40000,4530,0.09003501307687695
40000,3650,0.07418892065949574
40000,3760,0.09322459839459094
40000,3540,0.08823281595265028
40000,3610,0.08386432919915142
