init,cycle,nb_people,movingPeople,meanDiversityGlobal,empty_perc,rent_incr,rent_decr
1,0,50000,0,0.22364792140978978,0.9,1.05,0.95
0,0,50000,41810,0.07448890783277161,0.9,1.05,0.95
0,1,50000,7740,0.13756333233226326,0.9,1.05,0.95
0,2,50000,5610,0.1211289193358982,0.9,1.05,0.95
0,3,50000,6080,0.1349596551740031,0.9,1.05,0.95
0,4,50000,5310,0.11153838007977056,0.9,1.05,0.95
0,5,50000,5330,0.1277715155817193,0.9,1.05,0.95
0,6,50000,5140,0.0883527878780891,0.9,1.05,0.95
0,7,50000,5080,0.12316855791965185,0.9,1.05,0.95
0,8,50000,4530,0.09660176155466674,0.9,1.05,0.95
0,9,50000,4680,0.0724952224342761,0.9,1.05,0.95
