init,cycle,nb_people,movingPeople,meanDiversityGlobal,empty_perc,rent_incr,rent_decr
1,0,70000,0,0.22614718828338481,0.9,1.05,0.95
0,0,70000,59430,0.08804631797684448,0.9,1.05,0.95
0,1,70000,8200,0.10535839521622806,0.9,1.05,0.95
0,2,70000,4330,0.05398072950956391,0.9,1.05,0.95
0,3,70000,3960,0.07583331424703266,0.9,1.05,0.95
0,4,70000,2590,0.06202822341925702,0.9,1.05,0.95
0,5,70000,3690,0.06467772617015353,0.9,1.05,0.95
0,6,70000,1620,0.05046513668770315,0.9,1.05,0.95
0,7,70000,1910,0.05771754959445913,0.9,1.05,0.95
0,8,70000,1990,0.05091583309069374,0.9,1.05,0.95
0,9,70000,2170,0.04723317130601298,0.9,1.05,0.95
