init,cycle,nb_people,movingPeople,meanDiversityGlobal,empty_perc,rent_incr,rent_decr
1,0,30000,0,0.22414995849924943,0.9,1.05,0.95
0,0,30000,24950,0.04981487365158229,0.9,1.05,0.95
0,1,30000,6090,0.13124010962636554,0.9,1.05,0.95
0,2,30000,5100,0.10031143059734977,0.9,1.05,0.95
0,3,30000,4490,0.11549101507920127,0.9,1.05,0.95
0,4,30000,4690,0.11642234359918643,0.9,1.05,0.95
0,5,30000,4480,0.10496272710528319,0.9,1.05,0.95
0,6,30000,4750,0.0965230160887747,0.9,1.05,0.95
0,7,30000,4370,0.12832567338382855,0.9,1.05,0.95
0,8,30000,4340,0.12214202100053026,0.9,1.05,0.95
0,9,30000,4720,0.1243463493976064,0.9,1.05,0.95
