init,cycle,nb_people,movingPeople,meanDiversityGlobal,empty_perc,rent_incr,rent_decr
1,0,60000,0,0.2249710145190247,0.9,1.05,0.95
0,0,60000,50650,0.07998539218659549,0.9,1.05,0.95
0,1,60000,8130,0.12490716460614752,0.9,1.05,0.95
0,2,60000,5090,0.09095986577369453,0.9,1.05,0.95
0,3,60000,5000,0.10737217763573972,0.9,1.05,0.95
0,4,60000,4470,0.0739004487199572,0.9,1.05,0.95
0,5,60000,4580,0.1021073787160986,0.9,1.05,0.95
0,6,60000,3690,0.07597832416259481,0.9,1.05,0.95
0,7,60000,3950,0.0970089066439831,0.9,1.05,0.95
0,8,60000,3400,0.0691680888578522,0.9,1.05,0.95
0,9,60000,4070,0.0851348696953253,0.9,1.05,0.95
