init,cycle,nb_people,movingPeople,meanDiversityGlobal,empty_perc,rent_incr,rent_decr
1,0,80000,0,0.21806566574249417,0.9,1.05,0.95
0,0,80000,67430,0.08693570808578359,0.9,1.05,0.95
0,1,80000,7580,0.09427832068088804,0.9,1.05,0.95
0,2,80000,4270,0.07059800850643697,0.9,1.05,0.95
0,3,80000,4360,0.06772518612510818,0.9,1.05,0.95
0,4,80000,2800,0.05242296106239839,0.9,1.05,0.95
0,5,80000,1820,0.06752111040499519,0.9,1.05,0.95
0,6,80000,1400,0.05056414190287316,0.9,1.05,0.95
0,7,80000,1630,0.05253732422966027,0.9,1.05,0.95
0,8,80000,1510,0.04711037882083954,0.9,1.05,0.95
0,9,80000,1270,0.04787040313884564,0.9,1.05,0.95
