init,cycle,nb_people,movingPeople,meanDiversityGlobal,empty_perc,rent_incr,rent_decr
1,0,90000,0,0.23088550267051816,0.9,1.05,0.95
0,0,90000,76190,0.12777978421127978,0.9,1.05,0.95
0,1,90000,6900,0.08178269315729443,0.9,1.05,0.95
0,2,90000,4920,0.07880897608666552,0.9,1.05,0.95
0,3,90000,3760,0.05910194727703384,0.9,1.05,0.95
0,4,90000,3300,0.06473906146414131,0.9,1.05,0.95
0,5,90000,1800,0.05370390747892499,0.9,1.05,0.95
0,6,90000,1840,0.04616395385588508,0.9,1.05,0.95
0,7,90000,1390,0.04727449955445343,0.9,1.05,0.95
0,8,90000,1510,0.0421693341448089,0.9,1.05,0.95
0,9,90000,1700,0.04320804740246011,0.9,1.05,0.95
